Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Event,,: HEPPIII SKATE DAY,,,,,,,,,,
Date,,: 21 MEI 2025,,,,,,,,,,
Venue,,: PARKIR DELTA PLAZA ,,,,,,,,,,
Quot To,,: PT. DJARUM,,,,,,,,No. : ,,
COST ESTIMATION,,,,,,,,,,,,
,,,,,,,,,,,,
NO,ITEM,,,SPECIFICATION,QTY,,FREQ,,DUR,,PRICE / UNIT,SUB TOTAL
A,PLAN & DEVELOPMENT,,,,,,,,,,,
,Survey & Koordination,,,,1,Group,1,Time,1,Project,1000000,1000000
,Materi Multimedia,,,,1,Pack,1,Time,1,Project,0,0
,,,,,,,,,,,,
B,PERMIT & HSE,,,,,,,,,,,
,Venue,,,,,,,,,,,
,,Parkir Delta Plaza,,,1,Pack,1,Day,1,Project,10000000,10000000
,,Skatepark Monkasel,,,1,Pack,1,Day,1,Project,Provide by DSO,Provide by DSO
,Permit,,,,,,,,,,,
,,Polsek,,,1,Pack,1,Time,1,Project,3000000,3000000
,,Polres,,,1,Pack,1,Time,1,Project,10000000,10000000
,,PAM,,,10,Person,1,Day,1,Project,150000,1500000
,,Patwal,,,1,Pack,1,Time,1,Project,Support by Pemkot,Support by Pemkot
,HSE,,,,,,,,,,,
,,Internal Guard,,Local,5,Person,1,Day,1,Project,400000,2000000
,,Ambulance,,Inc Tim Medis,1,Unit,1,Day,1,Project,2000000,2000000
,,Rain Master,,,1,Pack,1,Day,1,Project,1000000,1000000
,,,,,,,,,,,,
C,PRODUCTION,,,,,,,,,,,
,Gate,,,,,,,,,,,
,,Rangka Gate,,Uk. 3x4 mtr,1,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Decoration Gate,,bahan multiplek + sticker,1,Unit,1,Time,1,Project,5000000,5000000
,Wall Of Fame,,,"Uk. 2,44x4,88 mtr",1,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,Stage Area,,,,,,,,,,,
,,Main stage,,rangka rigging uk. 6x8 mtr,1,Set,1,Time,1,Project,6000000,6000000
,,Decoration stage,,bahan multiplek & impraboard + sticker,1,Set,1,Time,1,Project,6500000,6500000
,,LED,,Uk3x5 mtr,15,Mtr,1,Time,1,Project,500000,7500000
,,Sound system,,10.000 watt inc. band gear,1,Set,1,Time,1,Project,10000000,10000000
,,Lighting System,,,,,,,,,,
,,,Stromi RGBW,,20,Unit,1,Time,1,Project,7500000,7500000
,,,Moving,,8,Unit,1,Time,1,Project,,
,,,Freshnell,,8,Unit,1,Time,1,Project,,
,,,Minibrute,,4,Unit,1,Time,1,Project,,
,,Rowing Baricade,,,80,meter,1,Time,1,Project,45000,3600000
,Skatepark area,,,,,,,,,,,
,,Sound delay,,5.000 watt,1,Set,1,Time,1,Project,3000000,3000000
,Main booth,,,uk. 3x6,1,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,Penerangan Support Area,,,HPIT 400 watt (area delta & skatepark),6,Unit,1,Time,1,Project,400000,2400000
,Tenda sarnavil,,,,,,,,,,,
,,Tenda Talent,,"5x5m; inc flooring, carpet, lampu, electricity",2,Unit,1,Time,1,Project,1500000,3000000
,,Tenda Storage EO,,"5x5m; inc flooring, carpet, lampu, electricity",1,Unit,1,Time,1,Project,1500000,1500000
,,Tenda FOH,,"4x4m; inc flooring, carpet, lampu, electricity",1,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,AC Portable,,,5PK,,,,,,,,
,,Tenda Talent,,,2,Unit,1,Time,1,Project,750000,1500000
,,Tenda Storage EO,,,1,Unit,1,Time,1,Project,750000,750000
,,,,,,,,,,,,
,Toilet portable,,,,1,Unit,1,Time,1,Project,2250000,2250000
,Mobile Toilet,,,DLH,1,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,Floor Decoration,,,,,,,,,,,
,,Flooring,,"Multiplek Uk. 4,88x15mtr",73,Mtr,1,Time,1,Project,75000,5475000
,,Obstacle & Properties,,,1,Set,1,Time,1,Project,Provide by Komunitas,Provide by Komunitas
,Electrical support,,,,,,,,,,,
,,Genset,,60kVA,3,Unit,1,Time,1,Project,3000000,9000000
,,Setup and installation,,,10,Titik,1,Time,1,Project,250000,2500000
,,Cable tray,,,30,Meter,1,Time,1,Project,50000,1500000
,UMKM Area,,,,,,,,,,,
,,Tenda UMKM,,"tenda branding djarum uk 3x3m, inc flooring",3,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Food truck,,,2,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Main Booth,,,1,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Sitting area,,,13,Set,1,Time,1,Project,400000,5200000
,,Spring light,,Inc Stand,1,Set,1,Time,1,Project,1500000,1500000
,Production Support,,,,,,,,,,,
,,Event Desk,,Inc Skirting,15,Unit,1,Time,1,Project,125000,1875000
,,Kursi,,Inc Skirting,30,Unit,1,Time,1,Project,25000,750000
,Loading in/out,,,,1,pack,2,Time,1,Project,1000000,2000000
,,,,,,,,,,,,
D,TALENTS,,,,,,,,,,,
,MC,,,,,,,,,,,
,,Female,,,1,Person,1,Time,1,Project,2000000,2000000
,,Male,,,1,Person,1,Time,1,Project,2000000,2000000
,Entertainment,,,,,,,,,,,
,,Eltikei,,,1,Person,1,Time,1,Project,1500000,1500000
,,Fletch,,,1,Group,1,Time,1,Project,11000000,11000000
,,Titi Laras,,,1,Group,1,Time,1,Project,7000000,7000000
,,MCPR,,,1,Group,1,Time,1,Project,25000000,25000000
,Judges & KOL,,,,,,,,,,,
,,Mural Competition,,,1,Person,1,Time,1,Project,1000000,1000000
,,Skate Pro Player,,Avri & Bram,2,Person,1,Time,1,Project,1000000,2000000
,Riders Fletch,,,,,,,,,,,
,,Transport,,,1,Pack,1,Time,1,Project,2000000,2000000
,,Meals & Refreshment,,,1,Pack,1,Time,1,Project,2000000,2000000
,Riders Titi Laras,,,,,,,,,,,
,,Meals & Refreshment,,,1,Pack,1,Time,1,Project,2000000,2000000
,Riders MCPR,,,,,,,,,,,
,,Meals & Refreshment,,,1,Pack,1,Time,1,Project,5000000,5000000
,Riders Eltikei,,,,,,,,,,,
,,Transport,,,1,Pack,1,Time,1,Project,200000,200000
,,Meals & Refreshment,,,1,Pack,1,Time,1,Project,200000,200000
,,,,,,,,,,,,
E,MAN POWER,,,,,,,,,,,
,Project Officer,,,,1,Person,1,Time,1,Project,4000000,4000000
,Show Management,,,,,,,,,,,
,,Show Director,,,1,Person,1,Time,1,Project,2500000,2500000
,,Stage Manager,,,1,Person,1,Time,1,Project,1500000,1500000
,,MC Briefer,,,1,Person,1,Time,1,Project,1500000,1500000
,,Visual Jockey,,,1,Person,1,Time,1,Project,1500000,1500000
,Production Manager,,,,1,Person,1,Time,1,Project,2500000,2500000
,Floor Manager,,,,1,Person,1,Time,1,Project,1500000,1500000
,,Floor Crew,,,1,Person,1,Day,1,Project,400000,400000
,Community Handling,,,,1,Person,1,Time,1,Project,1500000,1500000
,Talent Coordinator,,,,1,Person,1,Time,1,Project,1500000,1500000
,,Liaison Officer,,,1,Person,1,Day,1,Project,750000,750000
,Logistic Coordinator,,,,1,Person,1,Time,1,Project,1500000,1500000
,,Logistic Crew,,,1,Person,2,Day,1,Project,400000,800000
,Safety Officer,,,,1,Person,1,Day,1,Project,1500000,1500000
,Documentation Team,,,Matt (drone foto video),1,Group,1,Day,1,Project,3000000,3000000
,Waste Management,,,,1,Group,1,Day,1,Project,1000000,1000000
,,,,,,,,,,,,
F,OPERATIONAL & EXPENSES,,,,,,,,,,,
,,,,,,,,,,,,
,Tumpeng,,,,1,Pack,1,Time,1,Project,500000,500000
,Meals Box,,,"inc. talent, internal guard & medic",35,Pax,2,Time,1,Project,35000,2450000
,AMDK,,,,,,,,,,,
,,330 ml,,,10,box,1,Time,1,Project,50000,500000
,,Gelas,,Community,20,box,1,Time,1,Project,50000,1000000
,Refreshment EO,,,Preparation And During Event,1,pack,1,Time,1,Project,750000,750000
,Ground Transportation,,,inc. BBM & tol,1,Unit,2,Day,1,Project,600000,1200000
,,,,,,,,,,,,
8,TOOLS & PRIZE,,,,,,,,,,,
,Community Properties,,,,,,,,,,,
,,Bendera 76,,,5,Unit,1,Time,1,Project,100000,500000
,,T-shirt 76,,"Mural:5,Skate:15,BMX:5,EO:15,MC:2,KOL:3,Stok:5",50,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,,LED Stripe,,,6,Pcs,1,Time,1,Project,75000,450000
,,Kacamata LED,,,20,Pcs,1,Time,1,Project,17500,350000
,,Glow stick,,,150,Pcs,1,Time,1,Project,2000,300000
,Community Reward,,,,,,,,,,,
,,Saweran,,,1,Pack,1,Time,1,Project,5000000,5000000
,,Refreshment BMX,,,1,Pack,1,Time,1,Project,1000000,1000000
,,Hadiah Skate Competition,,"Terbaik I: 1jt , Terbaik II : 600rb , Terbaik III : 400rb",1,Pack,1,Time,1,Project,2000000,2000000
,,Mockup Juara,,Uk. A2 bahan impraboard & sticker,3,Pack,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Papan Skate,,,1,Pcs,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Griptape 76,,,1,Pcs,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Tiket XXI / CGV,,,100,Pcs,1,Time,1,Project,Provide by DSO,Provide by DSO
,Mural Competition,,,,,,,,,,,
,,Cat Kaleng,,"warna Hijau, Kuning, Orange, Putih, Merah",5,Pcs,5,Team,1,Project,60000,1500000
,,Hadiah Mural Competition,,"Terbaik I: 1jt , Terbaik II : 600rb , Terbaik III : 400rb",1,Pack,1,Time,1,Project,2000000,2000000
,,Media Mural,,Tong Besi inc cat dasar putih,5,Pcs,1,Time,1,Project,300000,1500000
,Main Booth Activation,,,,,,,,,,,
,,Kupon Undian,,,500,Lbr,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Griptape 76,,,1,Pcs,1,Time,1,Project,Provide by DSO,Provide by DSO
,,T shirt Official Event,,,10,Pcs,1,Time,1,Project,Provide by DSO,Provide by DSO
,,Topi Official Event,,,5,Pcs,1,Time,1,Project,Provide by DSO,Provide by DSO
,Communication,,,,,,,,,,,
,,HT,,,10,Unit,1,Time,1,Project,50000,500000
,,Intercom Holyland,,,3,Unit,1,Time,1,Project,250000,750000
,Workstation & Facilities,,,,,,,,,,,
,,ATK,,,1,Pack,1,Time,1,Project,500000,500000
,,Tempat Sampah,,,10,Unit,1,Time,1,Project,Provide by DSO,Provide by DSO
,,,,,,,,,,,,
,,,,,,,,,COST,,,233400000
,,,,,,,,,ASF 10%,,,23340000
,,,,,,,,,TOTAL COST,,,256740000
,,,,,,,,,,,,
,NOTE :,,,,,,,,,,,
,1. Offering Validations:,,,,,,,,,,,
,    The offer price above valid as long as the term specified,,,,,,,,,,,
,2. Tax:,,,,,,,,,,,
,    The offer price above exclude government tax,,,,,,,,,,,
,3. Term of Payment:,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,4. Payments are Transferred to: ,,,,,,,,,,,
,  Bank : Bank Central Asia (BCA),,,,,,,,,,,
,  Full Company Name : PT. Juara Berhasil Berkah Sejahtera,,,,,,,,,,,
,  Accounts Number : 005-767 8899,,,,,,,,,,,
,  Branch : Wisma Millenia - MT Haryono,,,,,,,,,,,
,"5. For further information, please contact:",,,,,,,,,,,
,  PT Juara Berhasil Berkah Sejahtera,,,,,,,,,,,
,  Workshop :,,,,,,,,,,,
,     Jl. Kemang utara VII No. 21A,,,,,,,,,,,
,     Jakarta Selatan - Indonesia,,,,,,,,,,,
,  Contact Persons :,,,,,,,,,,,
,,Bobby Kusumo : 081556655666,,,,,,,,,,
,,,,,,,,,,,,
,"Submitted by,  ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Wasli Andril Fajar,,,,,,,,,,,
,PT Juara Berhasil Berkah Sejahtera,,,,,,,,,,,
